Date,NIFTY_Put_OI,NIFTY_Call_OI,NIFTY_Fut_OI,Total_Options_OI,PCR
2021-01-01,63556725.0,46307550.0,13154850.0,109864275.0,1.3725
2021-01-04,75260775.0,49468500.0,13716075.0,124729275.0,1.5214
2021-01-05,89125200.0,54993150.0,14254725.0,144118350.0,1.6207
2021-01-06,85296075.0,68451750.0,13431900.0,153747825.0,1.2461
2021-01-07,93355950.0,78445575.0,13371150.0,171801525.0,1.1901
2021-01-08,86461425.0,50645250.0,14499000.0,137106675.0,1.7072
2021-01-11,98498775.0,54822225.0,15115200.0,153321000.0,1.7967
2021-01-12,102796275.0,59430825.0,15205050.0,162227100.0,1.7297
2021-01-13,101875875.0,69550050.0,14600625.0,171425925.0,1.4648
2021-01-14,109054350.0,74121375.0,14652075.0,183175725.0,1.4713
2021-01-15,78788700.0,66238575.0,14272275.0,145027275.0,1.1895
2021-01-18,81490125.0,72899550.0,13839600.0,154389675.0,1.1178
2021-01-19,90479325.0,66521325.0,13916550.0,157000650.0,1.3602
2021-01-20,92801925.0,64362675.0,14595300.0,157164600.0,1.4419
2021-01-21,92564400.0,72490200.0,14441025.0,165054600.0,1.2769
2021-01-22,73269975.0,64412850.0,13739625.0,137682825.0,1.1375
2021-01-25,74202075.0,72727200.0,14044725.0,146929275.0,1.0203
2021-01-27,73800375.0,82830300.0,13623300.0,156630675.0,0.891
2021-01-28,79814550.0,87825375.0,13214925.0,167639925.0,0.9088
2021-01-29,53572275.0,54600300.0,9887325.0,108172575.0,0.9812
2021-02-01,77337225.0,54778425.0,10817100.0,132115650.0,1.4118
2021-02-02,85358400.0,61446600.0,10707075.0,146805000.0,1.3891
2021-02-03,91887750.0,63000375.0,11202450.0,154888125.0,1.4585
2021-02-04,104975550.0,69322500.0,12112800.0,174298050.0,1.5143
2021-02-05,74448675.0,52796475.0,12267300.0,127245150.0,1.4101
2021-02-08,85754400.0,56272350.0,12251025.0,142026750.0,1.5239
2021-02-09,86295975.0,62517225.0,12229650.0,148813200.0,1.3804
2021-02-10,89674500.0,69237450.0,12178125.0,158911950.0,1.2952
2021-02-11,102104175.0,74925375.0,12406125.0,177029550.0,1.3627
2021-02-12,73588800.0,53247675.0,12604725.0,126836475.0,1.382
2021-02-15,84295725.0,53712000.0,12710025.0,138007725.0,1.5694
2021-02-16,84116100.0,65265525.0,12693375.0,149381625.0,1.2888
2021-02-17,86584200.0,74244150.0,13039425.0,160828350.0,1.1662
2021-02-18,93629625.0,83842800.0,13083825.0,177472425.0,1.1167
2021-02-19,73425975.0,61587825.0,13014450.0,135013800.0,1.1922
2021-02-22,75198375.0,75714450.0,12555450.0,150912825.0,0.9932
2021-02-23,83061075.0,78464175.0,12512925.0,161525250.0,1.0586
2021-02-24,89161725.0,65481450.0,12618600.0,154643175.0,1.3616
2021-02-25,97739775.0,79258125.0,13356525.0,176997900.0,1.2332
2021-02-26,61516650.0,66261825.0,12057225.0,127778475.0,0.9284
2021-03-01,71679825.0,68458500.0,11290350.0,140138325.0,1.0471
2021-03-02,80298675.0,67170075.0,11684475.0,147468750.0,1.1955
2021-03-03,96362175.0,66745500.0,11850750.0,163107675.0,1.4437
2021-03-04,94103325.0,76209000.0,14096625.0,170312325.0,1.2348
2021-03-05,74906100.0,67144575.0,14631600.0,142050675.0,1.1156
2021-03-08,82937025.0,78441525.0,14718075.0,161378550.0,1.0573
2021-03-09,88775550.0,80110650.0,13419900.0,168886200.0,1.1082
2021-03-10,93762000.0,83822775.0,13186125.0,177584775.0,1.1186
2021-03-12,76604850.0,75100275.0,13651350.0,151705125.0,1.02
2021-03-15,77908875.0,83752500.0,13448100.0,161661375.0,0.9302
2021-03-16,78862500.0,85376775.0,12937425.0,164239275.0,0.9237
2021-03-17,79715550.0,92068050.0,12558675.0,171783600.0,0.8658
2021-03-18,81094125.0,97907625.0,12490125.0,179001750.0,0.8283
2021-03-19,76137000.0,63426900.0,12240075.0,139563900.0,1.2004
2021-03-22,82322625.0,72525600.0,12816525.0,154848225.0,1.1351
2021-03-23,89178075.0,71808825.0,12442500.0,160986900.0,1.2419
2021-03-24,84356325.0,86868525.0,12387000.0,171224850.0,0.9711
2021-03-25,82834875.0,92018325.0,12041625.0,174853200.0,0.9002
2021-03-26,65684175.0,57714300.0,10255200.0,123398475.0,1.1381
2021-03-31,89015475.0,81230025.0,12637500.0,170245500.0,1.0958
2021-04-01,96716625.0,83696025.0,11801100.0,180412650.0,1.1556
2021-04-05,69419250.0,64956825.0,11697750.0,134376075.0,1.0687
2021-04-06,79622625.0,70568550.0,11500125.0,150191175.0,1.1283
2021-04-07,92500350.0,71659275.0,11783325.0,164159625.0,1.2908
2021-04-08,96739875.0,80716725.0,11524875.0,177456600.0,1.1985
2021-04-09,75356400.0,58603200.0,12422175.0,133959600.0,1.2859
2021-04-12,74150775.0,83885175.0,12391500.0,158035950.0,0.884
2021-04-13,86121150.0,74753850.0,12102900.0,160875000.0,1.1521
2021-04-15,98352000.0,86474100.0,12134325.0,184826100.0,1.1374
2021-04-16,80479650.0,58263075.0,12950025.0,138742725.0,1.3813
2021-04-19,86429625.0,72003150.0,12292725.0,158432775.0,1.2004
2021-04-20,87627450.0,81066750.0,12510825.0,168694200.0,1.0809
2021-04-22,106979625.0,84524775.0,12298425.0,191504400.0,1.2657
2021-04-23,77440425.0,60796500.0,12421500.0,138236925.0,1.2738
2021-04-26,87914700.0,63476775.0,12853050.0,151391475.0,1.385
2021-04-27,96847575.0,64241625.0,13539225.0,161089200.0,1.5076
2021-04-28,105368325.0,67130325.0,14981700.0,172498650.0,1.5696
2021-04-29,104242425.0,77940825.0,15445125.0,182183250.0,1.3375
2021-04-30,63671000.0,59724275.0,10856375.0,123395275.0,1.0661
2021-05-03,77587450.0,72498275.0,11336300.0,150085725.0,1.0702
2021-05-04,78940000.0,85386275.0,11846875.0,164326275.0,0.9245
2021-05-05,87266975.0,83571600.0,11725925.0,170838575.0,1.0442
2021-05-06,101196975.0,88204275.0,12174600.0,189401250.0,1.1473
2021-05-07,80551925.0,60548600.0,12241500.0,141100525.0,1.3304
2021-05-10,93278300.0,70202725.0,12225025.0,163481025.0,1.3287
2021-05-11,97237200.0,76424525.0,12766025.0,173661725.0,1.2723
2021-05-12,97075000.0,96362075.0,13050400.0,193437075.0,1.0074
2021-05-14,80840300.0,72665825.0,12334100.0,153506125.0,1.1125
2021-05-17,97113025.0,69197200.0,12585225.0,166310225.0,1.4034
2021-05-18,106345400.0,76312800.0,12523200.0,182658200.0,1.3935
2021-05-19,105458650.0,84609575.0,12314975.0,190068225.0,1.2464
2021-05-20,104079325.0,95248375.0,12245675.0,199327700.0,1.0927
2021-05-21,88225500.0,63720625.0,12085775.0,151946125.0,1.3846
2021-05-24,92312900.0,71148850.0,12176100.0,163461750.0,1.2975
2021-05-25,93944325.0,77054350.0,12605175.0,170998675.0,1.2192
2021-05-26,104846425.0,75837450.0,13195900.0,180683875.0,1.3825
2021-05-27,111266275.0,81567675.0,13551175.0,192833950.0,1.3641
2021-05-28,73734400.0,55817650.0,11114450.0,129552050.0,1.321
2021-05-31,90647625.0,59978075.0,11388325.0,150625700.0,1.5113
2021-06-01,93646650.0,70996650.0,11584075.0,164643300.0,1.319
2021-06-02,93185975.0,73227850.0,10959450.0,166413825.0,1.2725
2021-06-03,101106700.0,75024750.0,11438900.0,176131450.0,1.3476
2021-06-04,79244675.0,60824475.0,11505600.0,140069150.0,1.3028
2021-06-07,87417825.0,61991575.0,11714775.0,149409400.0,1.4102
2021-06-08,92429950.0,71282025.0,11832875.0,163711975.0,1.2967
2021-06-09,89039575.0,79503700.0,11634400.0,168543275.0,1.1199
2021-06-10,99423925.0,75678550.0,12356500.0,175102475.0,1.3138
2021-06-11,81117050.0,60022400.0,13016975.0,141139450.0,1.3514
2021-06-14,87882875.0,61822075.0,12876050.0,149704950.0,1.4215
2021-06-15,95411000.0,67353675.0,13517950.0,162764675.0,1.4166
2021-06-16,93527075.0,83293100.0,12170850.0,176820175.0,1.1229
2021-06-17,92791725.0,86379900.0,11607850.0,179171625.0,1.0742
2021-06-18,77580000.0,65572500.0,10745100.0,143152500.0,1.1831
2021-06-21,87941850.0,72442675.0,10741900.0,160384525.0,1.214
2021-06-22,86258100.0,80157275.0,10749600.0,166415375.0,1.0761
2021-06-23,90470200.0,94082175.0,10426225.0,184552375.0,0.9616
2021-06-24,99307075.0,85828475.0,11490575.0,185135550.0,1.157
2021-06-25,64338850.0,53667125.0,10058450.0,118005975.0,1.1989
2021-06-28,70660150.0,71437500.0,9934050.0,142097650.0,0.9891
2021-06-29,74657600.0,82500950.0,9897100.0,157158550.0,0.9049
2021-06-30,77496750.0,85754325.0,10158800.0,163251075.0,0.9037
2021-07-01,82243000.0,91999450.0,10195900.0,174242450.0,0.894
2021-07-02,69939600.0,64067125.0,9847350.0,134006725.0,1.0917
2021-07-05,82514625.0,66130325.0,9904050.0,148644950.0,1.2478
2021-07-06,83169925.0,76877725.0,10142800.0,160047650.0,1.0818
2021-07-07,96399675.0,77415250.0,10043000.0,173814925.0,1.2452
2021-07-08,87949375.0,96929275.0,10576900.0,184878650.0,0.9074
2021-07-09,76432200.0,81148425.0,10274200.0,157580625.0,0.9419
2021-07-12,78844775.0,90842100.0,10037150.0,169686875.0,0.8679
2021-07-13,90843550.0,82587725.0,10069500.0,173431275.0,1.1
2021-07-14,99544325.0,81105425.0,10404500.0,180649750.0,1.2273
2021-07-15,104583625.0,80821450.0,10828800.0,185405075.0,1.294
2021-07-16,81041975.0,65611950.0,10570900.0,146653925.0,1.2352
2021-07-19,79538950.0,89646800.0,10328850.0,169185750.0,0.8872
2021-07-20,81994300.0,100751075.0,10850050.0,182745375.0,0.8138
2021-07-22,90794975.0,82294350.0,10033300.0,173089325.0,1.1033
2021-07-23,74976850.0,65417725.0,10320550.0,140394575.0,1.1461
2021-07-26,84437925.0,76618875.0,10567200.0,161056800.0,1.1021
2021-07-27,84094425.0,93084450.0,10775900.0,177178875.0,0.9034
2021-07-28,85798325.0,92485550.0,10787650.0,178283875.0,0.9277
2021-07-29,95378275.0,91661800.0,11508400.0,187040075.0,1.0405
2021-07-30,69851175.0,64127900.0,10304350.0,133979075.0,1.0892
2021-08-02,89949525.0,71826250.0,11409650.0,161775775.0,1.2523
2021-08-03,127233300.0,77297850.0,12757050.0,204531150.0,1.646
2021-08-04,124392525.0,81054250.0,12986350.0,205446775.0,1.5347
2021-08-05,124587650.0,87164975.0,13662450.0,211752625.0,1.4293
2021-08-06,89852475.0,64235725.0,13698850.0,154088200.0,1.3988
2021-08-09,97159550.0,72204800.0,13795700.0,169364350.0,1.3456
2021-08-10,104820750.0,80735625.0,14145850.0,185556375.0,1.2983
2021-08-11,104830150.0,85431450.0,13643150.0,190261600.0,1.2271
2021-08-12,129096650.0,83791375.0,14569750.0,212888025.0,1.5407
2021-08-13,117712550.0,67985825.0,15643350.0,185698375.0,1.7314
2021-08-16,126778450.0,75756800.0,15636600.0,202535250.0,1.6735
2021-08-17,132508000.0,79369275.0,15582350.0,211877275.0,1.6695
2021-08-18,112611225.0,87565175.0,15325050.0,200176400.0,1.286
2021-08-20,89081150.0,73390200.0,13946200.0,162471350.0,1.2138
2021-08-23,91172325.0,78986625.0,13610150.0,170158950.0,1.1543
2021-08-24,105440325.0,75929750.0,14003300.0,181370075.0,1.3887
2021-08-25,106773450.0,83926800.0,14753250.0,190700250.0,1.2722
2021-08-26,109230550.0,91630100.0,15546850.0,200860650.0,1.1921
2021-08-27,80988150.0,58053300.0,14208600.0,139041450.0,1.3951
2021-08-30,106210675.0,66999875.0,14773450.0,173210550.0,1.5852
2021-08-31,121274375.0,73126625.0,15363400.0,194401000.0,1.6584
2021-09-01,112626150.0,96268325.0,15310900.0,208894475.0,1.1699
2021-09-02,120737100.0,91612275.0,15924800.0,212349375.0,1.3179
2021-09-03,90964975.0,67265900.0,16066150.0,158230875.0,1.3523
2021-09-06,102369150.0,79092650.0,16174950.0,181461800.0,1.2943
2021-09-07,102756575.0,85625700.0,16168050.0,188382275.0,1.2001
2021-09-08,109292500.0,93448675.0,16069650.0,202741175.0,1.1695
2021-09-09,116810950.0,91750275.0,15972800.0,208561225.0,1.2731
2021-09-13,98175275.0,73820075.0,15673050.0,171995350.0,1.3299
2021-09-14,100510675.0,84381000.0,15864350.0,184891675.0,1.1912
2021-09-15,118623400.0,80622750.0,16563800.0,199246150.0,1.4713
2021-09-16,121020650.0,80186650.0,16748300.0,201207300.0,1.5092
2021-09-17,98320650.0,85417000.0,16086350.0,183737650.0,1.1511
2021-09-20,96470325.0,98709100.0,15321750.0,195179425.0,0.9773
2021-09-21,107264850.0,93153300.0,14735800.0,200418150.0,1.1515
2021-09-22,110128900.0,96026825.0,14806700.0,206155725.0,1.1469
2021-09-23,121854825.0,85620750.0,15091950.0,207475575.0,1.4232
2021-09-24,96671225.0,76322400.0,15319550.0,172993625.0,1.2666
2021-09-27,103122025.0,93085550.0,15438550.0,196207575.0,1.1078
2021-09-28,103264700.0,109607225.0,15325150.0,212871925.0,0.9421
2021-09-29,110428650.0,116873150.0,15353100.0,227301800.0,0.9449
2021-09-30,107715075.0,114184950.0,16280800.0,221900025.0,0.9433
2021-10-01,74686225.0,75875400.0,12668350.0,150561625.0,0.9843
2021-10-04,89284575.0,82942325.0,12808900.0,172226900.0,1.0765
